"set","pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,1,3,"turk16-plain","k-3-sdline-0.35-sdgroup-0.25","line-0.76973-cluster-0.92087","14, 4","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",1,"set-1-k-3-sdline-0.35-sdgroup-0.25"
1,1,3,"turk16-color","k-3-sdline-0.35-sdgroup-0.25","line-0.76973-cluster-0.92087","14, 4","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",1,"set-1-k-3-sdline-0.35-sdgroup-0.25"
1,1,3,"turk16-shape","k-3-sdline-0.35-sdgroup-0.25","line-0.76973-cluster-0.92087","14, 4","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",1,"set-1-k-3-sdline-0.35-sdgroup-0.25"
1,1,3,"turk16-colorShape","k-3-sdline-0.35-sdgroup-0.25","line-0.76973-cluster-0.92087","14, 4","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",1,"set-1-k-3-sdline-0.35-sdgroup-0.25"
1,1,3,"turk16-colorEllipse","k-3-sdline-0.35-sdgroup-0.25","line-0.76973-cluster-0.92087","14, 4","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",1,"set-1-k-3-sdline-0.35-sdgroup-0.25"
1,1,3,"turk16-colorShapeEllipse","k-3-sdline-0.35-sdgroup-0.25","line-0.76973-cluster-0.92087","14, 4","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",1,"set-1-k-3-sdline-0.35-sdgroup-0.25"
1,1,3,"turk16-trend","k-3-sdline-0.35-sdgroup-0.25","line-0.76973-cluster-0.92087","14, 4","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",1,"set-1-k-3-sdline-0.35-sdgroup-0.25"
1,1,3,"turk16-trendError","k-3-sdline-0.35-sdgroup-0.25","line-0.76973-cluster-0.92087","14, 4","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",1,"set-1-k-3-sdline-0.35-sdgroup-0.25"
1,1,3,"turk16-colorTrend","k-3-sdline-0.35-sdgroup-0.25","line-0.76973-cluster-0.92087","14, 4","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",1,"set-1-k-3-sdline-0.35-sdgroup-0.25"
1,1,3,"turk16-colorEllipseTrendError","k-3-sdline-0.35-sdgroup-0.25","line-0.76973-cluster-0.92087","14, 4","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",1,"set-1-k-3-sdline-0.35-sdgroup-0.25"
2,2,5,"turk16-plain","k-5-sdline-0.35-sdgroup-0.25","line-0.75566-cluster-0.92306","19, 17","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",2,"set-1-k-5-sdline-0.35-sdgroup-0.25"
2,2,5,"turk16-color","k-5-sdline-0.35-sdgroup-0.25","line-0.75566-cluster-0.92306","19, 17","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",2,"set-1-k-5-sdline-0.35-sdgroup-0.25"
2,2,5,"turk16-shape","k-5-sdline-0.35-sdgroup-0.25","line-0.75566-cluster-0.92306","19, 17","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",2,"set-1-k-5-sdline-0.35-sdgroup-0.25"
2,2,5,"turk16-colorShape","k-5-sdline-0.35-sdgroup-0.25","line-0.75566-cluster-0.92306","19, 17","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",2,"set-1-k-5-sdline-0.35-sdgroup-0.25"
2,2,5,"turk16-colorEllipse","k-5-sdline-0.35-sdgroup-0.25","line-0.75566-cluster-0.92306","19, 17","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",2,"set-1-k-5-sdline-0.35-sdgroup-0.25"
