dataset,pic_id,param_value,response.id,n.answers,response_no,conf_level,choice_reason,test_param,p_value,obs_plot,plottype,ntrials,trial.no,trial.num,trend.correct,cluster.correct,both.correct,neither.correct,first.trial,simpleoutcome,trial.time,k,sdline,sdgroup,gini.min,group.min,no.ellipse,max.range,one.correct,one.ellipse,label
1,1,k-3-sdline-0.25-sdgroup-0.25,13103,1,20,4,_Strong linear trend- most plots resemble gaps as in 11,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,3,3,1,0,0,0,FALSE,trend,77,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,1616,1,20,4,_less spread out,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,3,3,1,0,0,0,FALSE,trend,13,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,5210,1,20,4,_linear,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,11,6,6,1,0,0,0,FALSE,trend,8,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,5385,1,11,4,_big gap in plots,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,1,1,0,1,0,0,TRUE,cluster,24,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,10993,1,11,4,_Two clusters of points,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,8,8,0,1,0,0,FALSE,cluster,21,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,8218,1,20,4,_conformity,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,6,6,1,0,0,0,FALSE,trend,26,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,2729,1,20,4,"_straight, while others are grouped",turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,3,3,1,0,0,0,FALSE,trend,13,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,4684,1,20,3,_Grouped,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,2,2,1,0,0,0,FALSE,trend,8,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,3699,1,11,4,_scattered,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,1,1,0,1,0,0,TRUE,cluster,16,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,13262,1,20,4,_Strongest linear,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,1,1,1,0,0,0,TRUE,trend,16,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,5917,2,"11,20",5,_Strongest linear trend,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,8,8,1,1,1,0,FALSE,both,25,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,12711,1,20,4,_very linear compared to others,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,11,5,5,1,0,0,0,FALSE,trend,29,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,997,1,20,5,_linear line,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,9,9,1,0,0,0,FALSE,trend,9,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,6233,1,20,4,_different,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,4,4,1,0,0,0,FALSE,trend,16,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,8544,1,20,5,_Least deviation,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,12,9,9,1,0,0,0,FALSE,trend,14,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,9140,1,11,5,_Distinct separation of result groups,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,8,8,0,1,0,0,FALSE,cluster,25,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,847,1,19,4,_2 separate sections,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,10,4,4,0,0,0,1,FALSE,neither,17,3,0.25,0.25,0.72,1,1,27,0,TRUE,Plain
1,1,k-3-sdline-0.25-sdgroup-0.25,6284,1,11,4,_groups,turk16-plain,line-0.87002-cluster-0.91041,"20, 11",plain,12,6,6,0,1,0,0,FALSE,cluster,47,3,0.25,0.25,0.72,1,1,27,1,TRUE,Plain
1,10,k-3-sdline-0.25-sdgroup-0.25,3434,1,20,5,_most linear,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,3,3,1,0,0,0,FALSE,trend,24,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,13146,1,12,5,_no red circle,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,5,5,0,0,0,1,FALSE,neither,21,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,1984,1,16,3,_Only two data clusters,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,6,6,0,0,0,1,FALSE,neither,23,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,12784,1,20,5,_forming a line,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,10,10,1,0,0,0,FALSE,trend,22,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,6167,1,20,3,_most linear,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,4,4,1,0,0,0,FALSE,trend,21,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,12556,1,11,2,_points are too much apart,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,1,1,0,1,0,0,TRUE,cluster,28,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,6644,1,11,4,_groups of plots,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,7,7,0,1,0,0,FALSE,cluster,20,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,8760,1,11,5,_Separated and small groups,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,10,10,0,1,0,0,FALSE,cluster,12,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,12993,1,16,5,_Absence of yellow plot points,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,6,6,0,0,0,1,FALSE,neither,17,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,12880,2,"9,15",2,_intersecting,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,8,8,0,0,0,1,FALSE,neither,13,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,1359,1,20,5,_Plot 20 is grouped closer together. ,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,4,4,1,0,0,0,FALSE,trend,51,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,7980,1,20,4,_narrowest,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,12,5,5,1,0,0,0,FALSE,trend,29,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,6904,1,20,5,_GRAPHIC,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,4,4,1,0,0,0,FALSE,trend,26,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,8857,1,20,4,_very linear,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,12,2,2,1,0,0,0,FALSE,trend,10,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,1470,1,12,4,_Fewest red.,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,10,10,0,0,0,1,FALSE,neither,31,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,8892,1,20,5,_nice and straight,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,12,5,5,1,0,0,0,FALSE,trend,21,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,7458,1,20,5,_narrowest trend band,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,11,3,3,1,0,0,0,FALSE,trend,39,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,10830,1,20,5,_,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,11,10,10,1,0,0,0,FALSE,trend,12,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,6938,1,20,3,_Most linear within bounds,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,3,3,1,0,0,0,FALSE,trend,127,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,9200,2,"16,12",4,"_Only two colors in 16, One color not bounded in 12",turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,9,9,0,0,0,1,FALSE,neither,44,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,13104,1,20,4,_Colors grouped together in a tight line,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,8,8,1,0,0,0,FALSE,trend,32,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,5465,1,12,4,"_no red item, only 2 not 3 items",turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,1,1,0,0,0,1,TRUE,neither,84,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,9863,1,16,5,_yellow group,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,6,6,0,0,0,1,FALSE,neither,35,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,3504,1,16,5,_the one yellow icon ,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,4,4,0,0,0,1,FALSE,neither,79,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,448,1,20,3,_strong linear relationship,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,9,9,1,0,0,0,FALSE,trend,14,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,12424,1,20,5,"_shapes closer together, more uniform",turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,9,9,1,0,0,0,FALSE,trend,18,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,10,k-3-sdline-0.25-sdgroup-0.25,7354,1,20,5,_strongest linear trend,turk16-colorEllipseTrendError,line-0.87002-cluster-0.91041,"20, 11",colorEllipseTrendError,10,6,6,1,0,0,0,FALSE,trend,50,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Ellipse + Trend + Error
1,2,k-3-sdline-0.25-sdgroup-0.25,12268,1,20,4,_Most linear.,turk16-color,line-0.87002-cluster-0.91041,"20, 11",color,10,10,10,1,0,0,0,FALSE,trend,13,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color
1,2,k-3-sdline-0.25-sdgroup-0.25,646,1,16,5,_almost no green,turk16-color,line-0.87002-cluster-0.91041,"20, 11",color,10,10,10,0,0,0,1,FALSE,neither,15,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color
1,2,k-3-sdline-0.25-sdgroup-0.25,6924,2,"20,11",1,_Groups of points and Strongest linear trend,turk16-color,line-0.87002-cluster-0.91041,"20, 11",color,12,4,4,1,1,1,0,FALSE,both,43,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color
1,2,k-3-sdline-0.25-sdgroup-0.25,11463,2,"11,20",3,_too far apart and narrow,turk16-color,line-0.87002-cluster-0.91041,"20, 11",color,10,10,10,1,1,1,0,FALSE,both,79,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color
1,2,k-3-sdline-0.25-sdgroup-0.25,1224,1,11,4,_the design,turk16-color,line-0.87002-cluster-0.91041,"20, 11",color,10,10,10,0,1,0,0,FALSE,cluster,13,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color
1,2,k-3-sdline-0.25-sdgroup-0.25,7463,1,20,4,_linear trends,turk16-color,line-0.87002-cluster-0.91041,"20, 11",color,10,3,3,1,0,0,0,FALSE,trend,21,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color
1,2,k-3-sdline-0.25-sdgroup-0.25,6695,1,20,5,_most linear,turk16-color,line-0.87002-cluster-0.91041,"20, 11",color,10,4,4,1,0,0,0,FALSE,trend,20,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color
1,2,k-3-sdline-0.25-sdgroup-0.25,1167,1,20,4,_strongest line of data,turk16-color,line-0.87002-cluster-0.91041,"20, 11",color,11,8,8,1,0,0,0,FALSE,trend,26,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color
1,4,k-3-sdline-0.25-sdgroup-0.25,8405,2,"19,11",5,_Clumps,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,7,7,0,1,0,0,FALSE,cluster,13,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,7736,1,11,3,_Clearest clusters,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,2,2,0,1,0,0,FALSE,cluster,26,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,5551,1,20,4,_Most linear plot,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,10,10,1,0,0,0,FALSE,trend,7,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,1201,1,20,5,_strong linear relationship,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,7,7,1,0,0,0,FALSE,trend,110,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,6,k-3-sdline-0.25-sdgroup-0.25,8534,1,20,5,_most linear of the graphs,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,4,4,1,0,0,0,FALSE,trend,22,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,13263,1,11,3,_much smaller than the others,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,11,1,1,0,1,0,0,TRUE,cluster,93,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,5441,1,20,5,_straight line,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,12,7,7,1,0,0,0,FALSE,trend,17,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,3949,1,12,2,_no red,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,5,5,0,0,0,1,FALSE,neither,57,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,11455,1,13,2,_distribution,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,5,5,0,0,0,1,FALSE,neither,27,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,7691,1,16,4,_Groups of points,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,2,2,0,0,0,1,FALSE,neither,21,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,1557,1,11,3,_most different from the rest,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,6,6,0,1,0,0,FALSE,cluster,10,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,3518,1,11,5,_different from others,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,1,1,0,1,0,0,TRUE,cluster,55,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,8832,1,16,4,_,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,2,2,0,0,0,1,FALSE,neither,28,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,10864,1,16,5,_only includes 2 ovals,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,4,4,0,0,0,1,FALSE,neither,28,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Shape + Ellipse
