"",".sample","target1","target2","line","group","gini"
"1",1,20,5,0.592627635446429,0.898666357732519,0.979174803543252
"2",2,20,5,0.159497010276341,0.904357265901196,0.975590455320185
"3",3,20,5,0.434124028061434,0.862886436386056,0.979651121395514
"4",4,20,5,0.220508092113275,0.865310300453101,0.966311637080868
"5",5,20,5,0.12789916578421,0.954617685182905,0.977358417974761
"6",6,20,5,0.532514845555072,0.867086001716779,0.957135581711182
"7",7,20,5,0.376168720772374,0.829707406005864,0.973494377342774
"8",8,20,5,0.300672002182757,0.895549113033752,0.978799390766968
"9",9,20,5,0.530698346175358,0.825036218565561,0.952105263157895
"10",10,20,5,0.593534304234515,0.899360180065941,0.969042236763831
"11",11,20,5,0.532019957148173,0.879421972039388,0.975191482198468
"12",12,20,5,0.586166754723025,0.86525160873223,0.969280190362879
"13",13,20,5,0.578011780143563,0.900209708051094,0.958246895544193
"14",14,20,5,0.390019402918461,0.852375999686092,0.979985041623309
"15",15,20,5,0.375841991376264,0.875471096259775,0.97735211058264
"16",16,20,5,0.319011766706895,0.829208945853435,0.959623109640832
"17",17,20,5,0.585696075985445,0.903999382972407,0.963208415516108
"18",18,20,5,0.62653554360645,0.891306916195951,0.980484185983134
"19",19,20,5,0.316139658327334,0.875631500053599,0.962049696180556
"20",20,20,5,0.643582173788814,0.846298253427689,0.965521006201415
