"",".sample","target1","target2","line","group","gini"
"1",1,11,17,0.272382515217921,0.860314577098948,0.969637188208617
"2",2,11,17,0.405733492832993,0.86103808404955,0.9663702770193
"3",3,11,17,0.400096441165719,0.866079763430262,0.979558586401505
"4",4,11,17,0.105095043456796,0.875753373255531,0.969125
"5",5,11,17,0.564218978562721,0.862066400883471,0.97636723998925
"6",6,11,17,0.394915771292132,0.851918927976254,0.979919678714859
"7",7,11,17,0.374235138205302,0.828555262657481,0.946726674965687
"8",8,11,17,0.216857491294032,0.880043874224008,0.973712531887755
"9",9,11,17,0.67946325910393,0.908896509479041,0.96912245290273
"10",10,11,17,0.548600359065488,0.878661815029542,0.978611588203344
"11",11,11,17,0.850547218187671,0.909079166428158,0.964227954277569
"12",12,11,17,0.626052089945242,0.890989250849157,0.960922731568998
"13",13,11,17,0.623096028628573,0.891961028519996,0.970713655523968
"14",14,11,17,0.310150223746918,0.881977254949152,0.980147632674298
"15",15,11,17,0.483680394913609,0.876686248840723,0.974959562662517
"16",16,11,17,0.30672044764507,0.85541186307758,0.978576
"17",17,11,17,0.562249385079737,0.928970098359593,0.976136363636364
"18",18,11,17,0.526766014208335,0.873340406231636,0.97232938957476
"19",19,11,17,0.578279932975117,0.856100457525927,0.957046133603794
"20",20,11,17,0.427297279133475,0.893671360699874,0.971177399784803
