"",".sample","target1","target2","line","group","gini"
"1",1,12,4,0.435997625360105,0.886009096996614,0.978131503642039
"2",2,12,4,0.345274701065311,0.890393683799755,0.977486411603506
"3",3,12,4,0.2671431915027,0.836021454407133,0.980014792899408
"4",4,12,4,0.0402579083995537,0.956394874859697,0.977468998039939
"5",5,12,4,0.52738080277119,0.897239975377232,0.951451769187076
"6",6,12,4,0.586359730641519,0.852592846523388,0.95905588909789
"7",7,12,4,0.396685118588468,0.877117432317879,0.967812942207048
"8",8,12,4,0.335050482532038,0.864152107536717,0.973811854752581
"9",9,12,4,0.489644674902133,0.890391630094396,0.969047619047619
"10",10,12,4,0.274356113753147,0.873033510626859,0.973074776785714
"11",11,12,4,0.296902154792996,0.863904217541498,0.918967614071438
"12",12,12,4,0.616016733304426,0.851680405830914,0.972071796663464
"13",13,12,4,0.288218381367874,0.817791155509737,0.967350463254685
"14",14,12,4,0.525735340652288,0.827696669823948,0.956557179084652
"15",15,12,4,0.304545382206621,0.858446031116563,0.961552768625784
"16",16,12,4,0.410358204785769,0.885849016094901,0.966760548411096
"17",17,12,4,0.332112758580239,0.803848588938523,0.978745411106579
"18",18,12,4,0.376433687303082,0.893504859450084,0.975859503485003
"19",19,12,4,0.28472268613571,0.839344434308949,0.98033902678989
"20",20,12,4,0.286822662093108,0.842071960320376,0.923643699837726
