"",".sample","target1","target2","line","group","gini"
"1",1,17,13,0.440853912045128,0.888652889020315,0.977172076219335
"2",2,17,13,0.527239842240558,0.871003809972346,0.968192021222324
"3",3,17,13,0.340693328645973,0.878694893042938,0.980640461280923
"4",4,17,13,0.527603647548524,0.856514196446801,0.972758058984911
"5",5,17,13,0.507222591210425,0.851672423101031,0.956097714934983
"6",6,17,13,0.493674550905519,0.866016263183295,0.962917751736111
"7",7,17,13,0.565164455392029,0.862021383684076,0.966739403557495
"8",8,17,13,0.509508865894549,0.864193123746094,0.974854810201161
"9",9,17,13,0.501398196199467,0.857570534803665,0.960459183673469
"10",10,17,13,0.667090514611452,0.90385866529349,0.97617423154266
"11",11,17,13,0.170647981145894,0.809197292963676,0.971664203171191
"12",12,17,13,0.420945861090755,0.848668141509785,0.972832858668565
"13",13,17,13,0.253920627214425,0.913111400139933,0.972438096571682
"14",14,17,13,0.490949484243929,0.835872077042393,0.965659598423719
"15",15,17,13,0.492057220665008,0.865136129870017,0.962375217013889
"16",16,17,13,0.506655021301738,0.880131209279267,0.95749645557656
"17",17,17,13,0.827923250547522,0.917483437157914,0.974749941599949
"18",18,17,13,0.302514925589833,0.858194511313464,0.964341731202823
"19",19,17,13,0.668533175180245,0.892938146146051,0.962541649312786
"20",20,17,13,0.475021013602141,0.864170899241986,0.974558015874556
