"",".sample","target1","target2","line","group","gini"
"1",1,15,16,0.454899017275763,0.735217651242203,0.825967859751644
"2",2,15,16,0.307299407539154,0.812173267403501,0.919667590027701
"3",3,15,16,0.513112335907395,0.772459474987182,0.919305293005671
"4",4,15,16,0.467778530899727,0.811358521451256,0.862682262457939
"5",5,15,16,0.627333937885587,0.830486266688041,0.902975778546713
"6",6,15,16,0.448600486429503,0.775582653075274,0.894671280276817
"7",7,15,16,0.351127422144964,0.71975315917321,0.92069404960298
"8",8,15,16,0.446212474235442,0.819614809270461,0.926844199571472
"9",9,15,16,0.406639397459276,0.791625735091705,0.85336011687363
"10",10,15,16,0.489005360348601,0.774792669209967,0.899653979238754
"11",11,15,16,0.488437989519125,0.733313346084115,0.837384259259259
"12",12,15,16,0.450589422906366,0.751920252044704,0.8808245028306
"13",13,15,16,0.377099770406365,0.827069316845152,0.915925925925926
"14",14,15,16,0.581467757412944,0.84174397311462,0.925893886966551
"15",15,15,16,0.662393923964622,0.789787859715723,0.90093537414966
"16",16,15,16,0.0710784867997079,0.908746463636138,0.886246531906461
"17",17,15,16,0.279143773804914,0.727377677027036,0.919875130072841
"18",18,15,16,0.479839856513997,0.783520743786923,0.866170360110803
"19",19,15,16,0.329076621169171,0.66038809563104,0.856821329639889
"20",20,15,16,0.341182865855905,0.703339336527936,0.906366245084494
