"",".sample","target1","target2","line","group","gini"
"1",1,1,20,0.830567283295621,0.781199175158353,0.90867202268431
"2",2,1,20,0.632860518259202,0.811696214835466,0.865131578947368
"3",3,1,20,0.490303252097566,0.768841174225589,0.90093537414966
"4",4,1,20,0.550607275861193,0.808970448413358,0.832426346406455
"5",5,1,20,0.50747470732142,0.768169652523823,0.906841535965387
"6",6,1,20,0.428370054634393,0.768932524230586,0.90093537414966
"7",7,1,20,0.565631287993697,0.780555112903142,0.919667590027701
"8",8,1,20,0.413984388632518,0.791308871184966,0.905441232167656
"9",9,1,20,0.555507030043206,0.761953432630618,0.870373337606153
"10",10,1,20,0.448463565764208,0.725622123877675,0.9179
"11",11,1,20,0.632677128529673,0.821818007802403,0.910360110803324
"12",12,1,20,0.625628278856279,0.804713401653664,0.919305293005671
"13",13,1,20,0.302604974962401,0.721869563364987,0.920014177693762
"14",14,1,20,0.421076291775171,0.831414346324452,0.8576
"15",15,1,20,0.603536009172478,0.782327682475031,0.921670740780104
"16",16,1,20,0.633467729618256,0.779878654211198,0.894672796106003
"17",17,1,20,0.301207187329141,0.712293702278485,0.856821329639889
"18",18,1,20,0.681968692294591,0.770385921122737,0.833912037037037
"19",19,1,20,0.653184255270671,0.822404463749991,0.909478305785124
"20",20,1,20,0.35698148063556,0.898832304781304,0.904636678200692
