"",".sample","target1","target2","line","group","gini"
"1",1,1,9,0.845803223210793,0.879802559559918,0.915925925925926
"2",2,1,9,0.718581244366248,0.843045405597733,0.89128494943486
"3",3,1,9,0.270923262478083,0.683292830477977,0.88296875
"4",4,1,9,0.726573826073208,0.858817648787783,0.823419027960218
"5",5,1,9,0.28849078627961,0.716650241604614,0.893017854550733
"6",6,1,9,0.469214524669958,0.782637585980645,0.913899287525661
"7",7,1,9,0.669114855329564,0.786705571237817,0.821428571428571
"8",8,1,9,0.530322843264171,0.747166895238792,0.886823319452707
"9",9,1,9,0.438487415856899,0.914074789435156,0.85336011687363
"10",10,1,9,0.308538466332174,0.713467966308237,0.913634215500945
"11",11,1,9,0.420764764871564,0.756522018016522,0.876232741617357
"12",12,1,9,0.598880474210103,0.82401583415789,0.821428571428571
"13",13,1,9,0.70532409358626,0.843517247932209,0.89128494943486
"14",14,1,9,0.505385636347632,0.78437594852506,0.863283036122542
"15",15,1,9,0.389911196498244,0.775183552927769,0.893961927424152
"16",16,1,9,0.39654826790534,0.744076359711595,0.91
"17",17,1,9,0.317184919372684,0.77678120152389,0.880527210884354
"18",18,1,9,0.31259488306408,0.749900649830938,0.923656509695291
"19",19,1,9,0.369126146481598,0.682336900169033,0.874612603305785
"20",20,1,9,0.463929568116967,0.834599334125001,0.896501669327914
