"",".sample","target1","target2","line","group","gini"
"1",1,12,17,0.489901018038412,0.778692138536508,0.8732741617357
"2",2,12,17,0.524467077849658,0.760959319526942,0.871173469387755
"3",3,12,17,0.418550461287477,0.729392467245255,0.8808245028306
"4",4,12,17,0.267334373493302,0.71269112350006,0.914530993561419
"5",5,12,17,0.556108958685687,0.790310448425722,0.925893886966551
"6",6,12,17,0.295050382072186,0.689513487168105,0.902975778546713
"7",7,12,17,0.395802110647242,0.756767417696759,0.843498904309715
"8",8,12,17,0.514460510584178,0.737839549174331,0.876141643967313
"9",9,12,17,0.605779305341061,0.807982258576918,0.911837935717519
"10",10,12,17,0.527557102135827,0.791000200737218,0.918246588576259
"11",11,12,17,0.0863406784155752,0.700308315131746,0.925170068027211
"12",12,12,17,0.854763926574736,0.872505320283399,0.914530993561419
"13",13,12,17,0.315619227782663,0.781984515313622,0.910027744748315
"14",14,12,17,0.317186400980736,0.705515063281502,0.917178638941399
"15",15,12,17,0.344385269495197,0.717771545463911,0.885230909922268
"16",16,12,17,0.367326180509811,0.713075296390932,0.920014177693762
"17",17,12,17,0.290446242533702,0.847361246723831,0.837384259259259
"18",18,12,17,0.514100127463249,0.744591816571458,0.902975778546713
"19",19,12,17,0.485562647811819,0.762549071175194,0.923656509695291
"20",20,12,17,0.691106404352435,0.816660315464871,0.87171875
