"",".sample","target1","target2","line","group","gini"
"1",1,2,15,0.461698631943773,0.694130294951352,0.828125
"2",2,2,15,0.777307257281081,0.783756095226251,0.88296875
"3",3,2,15,0.370250803169958,0.749484653500427,0.841715976331361
"4",4,2,15,0.461454930886287,0.714142421262049,0.85336011687363
"5",5,2,15,0.462280206152551,0.766959212046989,0.924223115380845
"6",6,2,15,0.405563727591326,0.813026726053469,0.916591217745586
"7",7,2,15,0.492698262197218,0.751097844389267,0.881909950328473
"8",8,2,15,0.624607752798622,0.809709107695432,0.820204081632653
"9",9,2,15,0.535676640549989,0.779445410717459,0.927137336223961
"10",10,2,15,0.226466356001351,0.789091534224321,0.911802685950413
"11",11,2,15,0.431485714261377,0.785228385028384,0.88296875
"12",12,2,15,0.585041202175848,0.836268723621253,0.922326869806094
"13",13,2,15,0.122822925245468,0.74957133171105,0.894132653061224
"14",14,2,15,0.250934273506458,0.631685846509005,0.856821329639889
"15",15,2,15,0.277934124542646,0.916892053340303,0.917178638941399
"16",16,2,15,0.506675474943716,0.771971154046603,0.841715976331361
"17",17,2,15,0.459600399868949,0.740641880138692,0.883138020833333
"18",18,2,15,0.567000398297566,0.737433815357112,0.859504132231405
"19",19,2,15,0.187584611023847,0.772546197876829,0.90440778799351
"20",20,2,15,0.630498917272574,0.773308642795013,0.88578125
