"","N","K","sd.trend","sd.cluster","null.line","null.cluster","null.gini","line","cluster","gini"
"1",45,3,0.25,0.2,0.651165824870325,0.862062218490915,0.822852608609403,0.841917204122112,0.947918818433861,0.91679748822606
"2",45,3,0.25,0.2,0.789309868280283,0.873533404384391,0.825967859751644,0.819670864604384,0.951641903868551,0.919305293005671
"3",45,3,0.25,0.2,0.744516962935487,0.848975376194976,0.800389273356401,0.839414620261881,0.957274916903632,0.925893886966551
"4",45,3,0.25,0.2,0.682298069341405,0.870367074508918,0.822852608609403,0.839186405317163,0.932588213406794,0.919667590027701
"5",45,3,0.25,0.2,0.701437110546192,0.856982350763152,0.820023148148148,0.909736836744027,0.946985662224419,0.922023540063377
"6",45,3,0.25,0.2,0.6545389092895,0.862514331001719,0.801836734693878,0.798501797050891,0.946380064130895,0.911802685950413
"7",45,3,0.25,0.2,0.755208964507203,0.855708785595501,0.782356872354645,0.840902424327265,0.954780853769414,0.912577479338843
"8",45,3,0.25,0.2,0.652567933591091,0.874465633390524,0.796496539792388,0.904956215713127,0.932642912499818,0.92069404960298
"9",45,3,0.25,0.2,0.718534436980839,0.922688719244137,0.773415977961432,0.861138109408191,0.941928005830763,0.902975778546713
"10",45,3,0.25,0.2,0.687150794182067,0.871318237544765,0.810408163265306,0.819174376020385,0.951477835086277,0.908442330558858
"11",45,3,0.25,0.2,0.646054281965249,0.87560375456436,0.845937324075812,0.841125220576911,0.95078758828443,0.924223115380845
"12",45,3,0.25,0.2,0.662595012212948,0.844122773990088,0.846933333333333,0.78591377417906,0.961908131990597,0.910027744748315
"13",45,3,0.25,0.2,0.718718075804942,0.838536222319676,0.820204081632653,0.8874533124499,0.936139100406062,0.913899287525661
"14",45,3,0.25,0.2,0.692592922228672,0.867035333410846,0.782356872354645,0.873712335959609,0.952215271185744,0.894854253420583
"15",45,3,0.25,0.2,0.767225851245443,0.840179868736653,0.829994048799841,0.838555958171242,0.937246724094792,0.903755585074266
"16",45,3,0.25,0.2,0.747899304865184,0.849558678368842,0.800389273356401,0.878758411252882,0.945198342853225,0.896501669327914
"17",45,3,0.25,0.2,0.764991617646773,0.870932304694923,0.853068418522673,0.89811571085881,0.929729362949921,0.916666666666667
"18",45,3,0.25,0.2,0.690535888828298,0.841095920437226,0.843685494464252,0.805466464446505,0.946589369701343,0.913703703703704
"19",45,3,0.25,0.2,0.735765182679506,0.86796490645224,0.87828125,0.891108421279015,0.952508913622535,0.909478305785124
"20",45,3,0.25,0.2,0.658623372362474,0.842155075877356,0.811594202898551,0.85780021002574,0.945163098859509,0.923656509695291
"21",45,3,0.25,0.2,0.822920896956354,0.865655431097833,0.804032766225583,0.874502247131866,0.938651511496243,0.9251
"22",45,3,0.25,0.2,0.676204268227888,0.852682988123766,0.734239251503676,0.872964261170242,0.960772573372911,0.915925925925926
"23",45,3,0.25,0.2,0.735561628802299,0.865496946484578,0.827613568736362,0.836935798464625,0.960463120523924,0.865131578947368
"24",45,3,0.25,0.2,0.76326049398711,0.873792337230383,0.787703274671419,0.820976794305387,0.954109891682497,0.911802685950413
"25",45,3,0.25,0.2,0.649434697532922,0.845615841744507,0.845937324075812,0.876359669426451,0.950219411292136,0.923171104989287
"26",45,3,0.25,0.2,0.668015044041876,0.861908696109519,0.839181835241133,0.859288999814375,0.958049957743853,0.896501669327914
"27",45,3,0.25,0.2,0.57814103929037,0.856869193113579,0.751220703125,0.833866295995318,0.939632953114584,0.913016033329125
"28",45,3,0.25,0.2,0.633503164465147,0.860337692045432,0.837384259259259,0.851708702699743,0.941234042231484,0.829994048799841
"29",45,3,0.25,0.2,0.68377252208557,0.849751881760983,0.839181835241133,0.838252925574538,0.938658451125439,0.898243576716505
"30",45,3,0.25,0.2,0.700586273495199,0.849852680446017,0.829994048799841,0.860379453898522,0.955798466938013,0.911802685950413
"31",45,3,0.25,0.2,0.696410003312689,0.855070287862942,0.829994048799841,0.884797849393829,0.940372793818636,0.893961927424152
"32",45,3,0.25,0.2,0.745595893903911,0.84327442377139,0.813915266617969,0.879417903890732,0.947272830505645,0.914530993561419
"33",45,3,0.25,0.2,0.69387331236159,0.85497331818502,0.88296875,0.867653803441602,0.937211806367371,0.915925925925926
"34",45,3,0.25,0.2,0.649471031121998,0.847019877736847,0.845937324075812,0.848997625629508,0.956687090877365,0.913899287525661
"35",45,3,0.25,0.2,0.687072223424662,0.856526723059103,0.829896193771626,0.880132795080092,0.925728423476629,0.90738813735692
"36",45,3,0.25,0.2,0.728514621842552,0.856898909862962,0.86328125,0.900596559409064,0.956938082798977,0.911802685950413
"37",45,3,0.25,0.2,0.721109019164532,0.864628187311879,0.811594202898551,0.839415437272569,0.959468397154116,0.922326869806094
"38",45,3,0.25,0.2,0.702956131185473,0.868217890506335,0.829994048799841,0.830092201654587,0.93560800946005,0.92762399077278
"39",45,3,0.25,0.2,0.620001614609735,0.832512692190343,0.852264426588751,0.807284893693665,0.94230986464675,0.790376475829806
"40",45,3,0.25,0.2,0.766942985605414,0.858407263723501,0.74887573964497,0.850277965326934,0.947553386170715,0.908442330558858
"41",45,3,0.25,0.2,0.653090038822502,0.839169127000039,0.6974505723205,0.878673488404268,0.948571920398766,0.923656509695291
"42",45,3,0.25,0.2,0.630851009601701,0.866776655333946,0.846933333333333,0.847798034635136,0.949594725383213,0.914530993561419
"43",45,3,0.25,0.2,0.695327306486192,0.85302507078933,0.843685494464252,0.832791446634699,0.945444053207442,0.904636678200692
"44",45,3,0.25,0.2,0.653369721901553,0.856393272105891,0.809606481481481,0.883364654373539,0.937879474476061,0.90093537414966
"45",45,3,0.25,0.2,0.747157285685039,0.877179118551846,0.829144881092933,0.818133874227213,0.939553267209471,0.899653979238754
"46",45,3,0.25,0.2,0.705142568289832,0.861374717471989,0.839506172839506,0.826136000859231,0.939294984097602,0.904636678200692
"47",45,3,0.25,0.2,0.67921615743736,0.856809349246318,0.806189248165047,0.837565369676184,0.945999868845138,0.88671875
"48",45,3,0.25,0.2,0.607743519488387,0.84788812140432,0.815711168418965,0.841318746003611,0.94922299844822,0.913634215500945
"49",45,3,0.25,0.2,0.697316942559485,0.859149993320041,0.869757785467128,0.863796328781097,0.917180972396396,0.899653979238754
"50",45,3,0.25,0.2,0.649433526990129,0.838538231819395,0.809073724007561,0.882964166450456,0.953807248803037,0.90440778799351
"51",45,3,0.25,0.2,0.731909069101984,0.885116748163477,0.787703274671419,0.884433740414124,0.944920006075501,0.911802685950413
"52",45,3,0.25,0.2,0.703999565994708,0.842102626219584,0.787703274671419,0.794538378007709,0.941503940201102,0.921670740780104
"53",45,3,0.25,0.2,0.642237529987343,0.825261469470729,0.853333333333333,0.898098543113546,0.954435978342637,0.901785714285714
"54",45,3,0.25,0.2,0.66003775757945,0.868747596379906,0.843685494464252,0.808367985281179,0.953263326166303,0.921262573707943
"55",45,3,0.25,0.2,0.832016514695542,0.848445432868891,0.782356872354645,0.833744630837222,0.942292401405029,0.869623882610896
"56",45,3,0.25,0.2,0.771666312604469,0.850568464538704,0.796471329552615,0.824566731461517,0.938817601674505,0.910027744748315
"57",45,3,0.25,0.2,0.626694812958357,0.860812145770736,0.829994048799841,0.893795090784698,0.925355964513492,0.924153645833333
"58",45,3,0.25,0.2,0.720612651675152,0.864680333074515,0.820204081632653,0.811810417559854,0.940423976365484,0.920014177693762
"59",45,3,0.25,0.2,0.688086346957358,0.845689304972073,0.848977355734112,0.771912841598524,0.942425354321849,0.919305293005671
"60",45,3,0.25,0.2,0.746989230038563,0.865760848248272,0.820204081632653,0.920173316600806,0.958503553667393,0.91679748822606
"61",45,3,0.25,0.2,0.671135263607709,0.836897829485108,0.8384,0.823045349259932,0.943543067929326,0.90440778799351
"62",45,3,0.25,0.2,0.707811335092037,0.881167925626768,0.796496539792388,0.888425017211315,0.939758264330617,0.871647832686794
"63",45,3,0.25,0.2,0.624250687334071,0.877883674462359,0.820204081632653,0.832800690747952,0.948920052968901,0.907652785289346
"64",45,3,0.25,0.2,0.655054244981893,0.863040069622752,0.848977355734112,0.790821480111922,0.940990166653804,0.914530993561419
"65",45,3,0.25,0.2,0.660505336600463,0.834994327611906,0.839181835241133,0.829265609702216,0.957454697833207,0.888888888888889
"66",45,3,0.25,0.2,0.716727204425865,0.854001410686843,0.848977355734112,0.840864897355309,0.937161651497888,0.919875130072841
"67",45,3,0.25,0.2,0.774502443475063,0.861132389115975,0.853333333333333,0.870543578648973,0.932764993993351,0.900351541373716
"68",45,3,0.25,0.2,0.731190164836588,0.851683424689845,0.796496539792388,0.873011226390339,0.957645438358858,0.922023540063377
"69",45,3,0.25,0.2,0.702665326191746,0.86294442041327,0.869623882610896,0.816034335329435,0.931772660354812,0.898384353741497
"70",45,3,0.25,0.2,0.627012296870726,0.850256586732198,0.888888888888889,0.855876251666806,0.971526307124091,0.912937911897329
"71",45,3,0.25,0.2,0.694692935805319,0.85955358020125,0.757396449704142,0.897273059178085,0.948206042289907,0.918246588576259
"72",45,3,0.25,0.2,0.69117689473661,0.880650007936223,0.848977355734112,0.86661402274872,0.944058951826129,0.912577479338843
"73",45,3,0.25,0.2,0.704109020070038,0.85828984851322,0.822852608609403,0.910091701459894,0.950596504738177,0.922023540063377
"74",45,3,0.25,0.2,0.720116185748912,0.842022188859898,0.737717309145881,0.869456700014855,0.950302226447261,0.917100242802636
"75",45,3,0.25,0.2,0.732174828908138,0.843382740124799,0.796496539792388,0.849642513406361,0.941777284739529,0.88578125
"76",45,3,0.25,0.2,0.635301317312616,0.865887152776894,0.811594202898551,0.907460748677536,0.942094565302761,0.91
"77",45,3,0.25,0.2,0.62825493361959,0.866386945128915,0.751220703125,0.88002710967325,0.927934011622338,0.893017854550733
"78",45,3,0.25,0.2,0.711050843069193,0.821041941751129,0.737717309145881,0.762618410450434,0.948882536730051,0.91
"79",45,3,0.25,0.2,0.734530348633308,0.86006091257696,0.782356872354645,0.866894789454485,0.94681364967841,0.918973471741638
"80",45,3,0.25,0.2,0.632116646149808,0.881355847619925,0.835829072315559,0.87864908915437,0.947136928185837,0.88296875
"81",45,3,0.25,0.2,0.631117215772102,0.833468673936859,0.737717309145881,0.892385013569181,0.921942084068435,0.90440778799351
"82",45,3,0.25,0.2,0.742138252166083,0.853622150391689,0.804032766225583,0.843797368541009,0.93807845949068,0.921262573707943
"83",45,3,0.25,0.2,0.750687082980904,0.847285255727611,0.871647832686794,0.853256397475806,0.951143667411033,0.90093537414966
"84",45,3,0.25,0.2,0.743278269245594,0.907088521733788,0.85296875,0.890553232160732,0.954416478034346,0.920014177693762
"85",45,3,0.25,0.2,0.783187114646586,0.850672060360423,0.829994048799841,0.832391013501999,0.937292205541583,0.926844199571472
"86",45,3,0.25,0.2,0.682518866300071,0.84927387454012,0.829144881092933,0.804191747494198,0.957694458237041,0.919875130072841
"87",45,3,0.25,0.2,0.727537118680857,0.841982776720629,0.852264426588751,0.837024315244633,0.951650534906437,0.89128494943486
